GENE_ID,GENE,number_case,number_control,case_control_ratio
ENSG00000033122,LRRC7,4,5,-0.25
ENSG00000044524,EPHA3,4,0,4
ENSG00000064225,ST3GAL6,12,15,-0.25
ENSG00000074071,MRPS34,17,17,0.0
ENSG00000054654,SYNE2,4,8,-1.0
ENSG00000047578,KATNIP,0,4,-4
ENSG00000064687,ABCA7,8,9,-0.12
ENSG00000033178,UBA6,7,0,7
ENSG00000047662,FAM184B,9,12,-0.33
ENSG00000042832,TG,8,7,0.12
ENSG00000048828,FAM120A,9,11,-0.22
ENSG00000075856,SART3,17,18,-0.06
ENSG00000049089,COL9A2,5,5,0.0
ENSG00000077063,CTTNBP2,4,4,0.0
ENSG00000077800,FKBP6,17,18,-0.06
ENSG00000065534,MYLK,12,16,-0.33
ENSG00000051825,MPHOSPH9,6,8,-0.33
ENSG00000065717,TLE2,4,0,4
ENSG00000066427,ATXN3,9,8,0.11
ENSG00000064489,BORCS8-MEF2B,8,12,-0.5
ENSG00000066923,STAG3,12,11,0.08
ENSG00000081842,PCDHA6,17,18,-0.06
ENSG00000055950,MRPL43,7,7,0.0
ENSG00000067365,METTL22,14,18,-0.29
ENSG00000081853,PCDHGA2,11,7,0.36
ENSG00000065268,WDR18,14,16,-0.14
ENSG00000054179,ENTPD2,9,11,-0.22
ENSG00000042781,USH2A,4,0,4
ENSG00000082293,COL19A1,15,16,-0.07
ENSG00000058335,RASGRF1,0,8,-8
ENSG00000055957,ITIH1,6,4,0.33
ENSG00000058866,DGKG,0,4,-4
ENSG00000060709,RIMBP2,6,0,6
ENSG00000070047,PHRF1,4,8,-1.0
ENSG00000084234,APLP2,4,0,4
ENSG00000038295,TLL1,6,0,6
ENSG00000059377,TBXAS1,0,4,-4
ENSG00000047346,FAM214A,4,0,4
ENSG00000070061,ELP1,6,0,6
ENSG00000084674,APOB,10,8,0.2
ENSG00000066827,ZFAT,6,8,-0.33
ENSG00000063854,HAGH,10,7,0.3
ENSG00000070159,PTPN3,4,0,4
ENSG00000085185,BCORL1,4,0,4
ENSG00000064201,TSPAN32,14,14,0.0
ENSG00000070182,SPTB,4,4,0.0
ENSG00000067560,RHOA,0,4,-4
ENSG00000086205,FOLH1,9,8,0.11
ENSG00000049323,LTBP1,6,0,6
ENSG00000047932,GOPC,4,5,-0.25
ENSG00000054267,ARID4B,4,5,-0.25
ENSG00000070444,MNT,4,4,0.0
ENSG00000068724,TTC7A,11,8,0.27
ENSG00000088205,DDX18,13,11,0.15
ENSG00000071894,CPSF1,11,11,0.0
ENSG00000065427,KARS1,0,4,-4
ENSG00000072657,TRHDE,11,13,-0.18
ENSG00000089195,TRMT6,6,0,6
ENSG00000064961,HMG20B,4,6,-0.5
ENSG00000057252,SOAT1,4,0,4
ENSG00000060558,GNA15,6,8,-0.33
ENSG00000073146,MOV10L1,8,8,0.0
ENSG00000051128,HOMER3,4,0,4
ENSG00000059145,UNKL,0,4,-4
ENSG00000090615,GOLGA3,7,0,7
ENSG00000047936,ROS1,4,4,0.0
ENSG00000073578,SDHA,12,13,-0.08
ENSG00000090920,name not found,17,17,0.0
ENSG00000063438,AHRR,8,6,0.25
ENSG00000073670,ADAM11,4,0,4
ENSG00000091106,NLRC4,10,11,-0.1
ENSG00000061273,HDAC7,5,5,0.0
ENSG00000066294,CD84,0,12,-12
ENSG00000066735,KIF26A,4,5,-0.25
ENSG00000091536,MYO15A,4,0,4
ENSG00000092096,SLC22A17,9,4,0.56
ENSG00000067596,DHX8,5,5,0.0
ENSG00000074276,CDHR2,11,14,-0.27
ENSG00000092199,HNRNPC,10,11,-0.1
ENSG00000068024,HDAC4,0,5,-5
ENSG00000092529,CAPN3,4,0,4
ENSG00000065618,COL17A1,5,0,5
ENSG00000068078,FGFR3,5,4,0.2
ENSG00000092758,COL9A3,14,14,0.0
ENSG00000070756,PABPC1,13,13,0.0
ENSG00000078674,PCM1,14,18,-0.29
ENSG00000060718,COL11A1,0,5,-5
ENSG00000068028,RASSF1,0,4,-4
ENSG00000072736,NFATC3,0,4,-4
ENSG00000070601,FRMPD1,0,5,-5
ENSG00000068831,RASGRP2,4,0,4
ENSG00000095066,HOOK2,15,18,-0.2
ENSG00000073169,SELENOO,0,4,-4
ENSG00000079337,RAPGEF3,6,4,0.33
ENSG00000095203,EPB41L4B,15,14,0.07
ENSG00000069764,PLA2G10,0,5,-5
ENSG00000073282,TP63,4,4,0.0
ENSG00000067829,IDH3G,5,7,-0.4
ENSG00000070731,ST6GALNAC2,11,14,-0.27
ENSG00000064205,CCN5,0,4,-4
ENSG00000070748,CHAT,4,4,0.0
ENSG00000066777,ARFGEF1,4,0,4
ENSG00000070413,DGCR2,7,6,0.14
ENSG00000079432,CIC,5,4,0.2
ENSG00000095917,TPSD1,9,11,-0.22
ENSG00000070190,DAPP1,0,4,-4
ENSG00000066455,GOLGA5,8,0,8
ENSG00000064270,ATP2C2,7,4,0.43
ENSG00000095951,HIVEP1,4,0,4
ENSG00000070814,TCOF1,0,4,-4
ENSG00000066629,EML1,7,0,7
ENSG00000081237,PTPRC,4,0,4
ENSG00000096696,DSP,4,0,4
ENSG00000074582,BCS1L,11,9,0.18
ENSG00000081248,CACNA1S,8,9,-0.12
ENSG00000099821,POLRMT,14,17,-0.21
ENSG00000074855,ANO8,8,13,-0.62
ENSG00000075043,KCNQ2,5,5,0.0
ENSG00000081818,PCDHB4,10,6,0.4
ENSG00000099840,IZUMO4,7,6,0.14
ENSG00000072195,SPEG,5,4,0.2
ENSG00000067048,DDX3Y,5,0,5
ENSG00000099866,MADCAM1,17,18,-0.06
ENSG00000071564,TCF3,0,4,-4
ENSG00000075914,EXOSC7,6,7,-0.17
ENSG00000066230,SLC9A3,4,0,4
ENSG00000072210,ALDH3A2,6,0,6
ENSG00000099910,KLHL22,16,17,-0.06
ENSG00000076344,RGS11,0,4,-4
ENSG00000072121,ZFYVE26,0,4,-4
ENSG00000072518,MARK2,14,12,0.14
ENSG00000099949,LZTR1,17,18,-0.06
ENSG00000076356,PLXNA2,0,4,-4
ENSG00000072163,LIMS2,9,6,0.33
ENSG00000063244,U2AF2,4,0,4
ENSG00000083067,TRPM3,9,0,9
ENSG00000100023,PPIL2,6,0,6
ENSG00000078070,MCCC1,0,5,-5
ENSG00000072818,ACAP1,0,12,-12
ENSG00000085465,OVGP1,12,13,-0.08
ENSG00000072840,EVC,11,13,-0.18
ENSG00000085871,MGST2,6,12,-1.0
ENSG00000100239,PPP6R2,14,8,0.43
ENSG00000079616,KIF22,4,0,4
ENSG00000100311,PDGFB,15,15,0.0
ENSG00000088836,SLC4A11,5,0,5
ENSG00000100344,PNPLA3,8,7,0.12
ENSG00000100345,MYH9,5,6,-0.2
ENSG00000079263,SP140,4,6,-0.5
ENSG00000072182,ASIC4,5,0,5
ENSG00000100376,FAM118A,10,15,-0.5
ENSG00000079308,TNS1,9,13,-0.44
ENSG00000100427,MLC1,9,11,-0.22
ENSG00000080031,PTPRH,4,4,0.0
ENSG00000089177,KIF16B,4,4,0.0
ENSG00000100441,KHNYN,17,18,-0.06
ENSG00000075213,SEMA3A,5,0,5
ENSG00000100445,SDR39U1,17,17,0.0
ENSG00000075461,CACNG4,12,12,0.0
ENSG00000089356,FXYD3,10,13,-0.3
ENSG00000090006,LTBP4,5,4,0.2
ENSG00000067369,TP53BP1,4,0,4
ENSG00000100842,EFS,7,5,0.29
ENSG00000075886,TUBA3D,4,4,0.0
ENSG00000076944,STXBP2,8,0,8
ENSG00000072858,SIDT1,5,0,5
ENSG00000090372,STRN4,16,18,-0.12
ENSG00000077235,GTF3C1,4,0,4
ENSG00000084731,KIF3C,0,4,-4
ENSG00000077380,DYNC1I2,0,5,-5
ENSG00000085365,SCAMP1,10,7,0.3
ENSG00000090520,DNAJB11,5,7,-0.4
ENSG00000083457,ITGAE,0,5,-5
ENSG00000085721,RRN3,0,12,-12
ENSG00000090530,P3H2,13,13,0.0
ENSG00000101004,NINL,6,5,0.17
ENSG00000083799,CYLD,0,4,-4
ENSG00000077809,name not found,0,5,-5
ENSG00000084093,REST,5,6,-0.2
ENSG00000067836,ROGDI,4,0,4
ENSG00000101276,SLC52A3,13,13,0.0
ENSG00000086288,NME8,7,10,-0.43
ENSG00000074211,PPP2R2C,0,7,-7
ENSG00000086504,MRPL28,6,0,6
ENSG00000101307,SIRPB1,10,10,0.0
ENSG00000086289,EPDR1,7,10,-0.43
ENSG00000086570,FAT2,5,4,0.2
ENSG00000092054,MYH7,6,0,6
ENSG00000101311,FERMT1,6,9,-0.5
ENSG00000087301,TXNDC16,0,4,-4
ENSG00000072778,ACADVL,4,4,0.0
ENSG00000101353,MROH8,14,17,-0.21
ENSG00000075275,CELSR1,6,7,-0.17
ENSG00000101361,NOP56,15,12,0.2
ENSG00000074370,ATP2A3,0,5,-5
ENSG00000092201,SUPT16H,4,0,4
ENSG00000101445,PPP1R16B,8,7,0.12
ENSG00000083312,TNPO1,0,6,-6
ENSG00000087470,DNM1L,4,0,4
ENSG00000092850,TEKT2,0,4,-4
ENSG00000102699,PARP4,8,10,-0.25
ENSG00000080511,RDH8,0,4,-4
ENSG00000072364,AFF4,0,4,-4
ENSG00000087586,AURKA,10,12,-0.2
ENSG00000080573,COL5A3,6,5,0.17
ENSG00000075292,ZNF638,0,8,-8
ENSG00000094963,FMO2,12,11,0.08
ENSG00000076928,ARHGEF1,4,8,-1.0
ENSG00000102901,CENPT,4,9,-1.25
ENSG00000103024,NME3,17,17,0.0
ENSG00000086015,MAST2,4,0,4
ENSG00000077150,NFKB2,4,0,4
ENSG00000085788,DDHD2,0,5,-5
ENSG00000103994,ZNF106,4,4,0.0
ENSG00000104059,FAM189A1,17,18,-0.06
ENSG00000090612,ZNF268,4,0,4
ENSG00000088256,GNA11,8,7,0.12
ENSG00000090674,MCOLN1,8,14,-0.75
ENSG00000099817,POLR2E,8,5,0.38
ENSG00000075413,MARK3,5,7,-0.4
ENSG00000104643,MTMR9,12,11,0.08
ENSG00000075399,VPS9D1,4,10,-1.5
ENSG00000074054,CLASP1,0,4,-4
ENSG00000093000,NUP50,4,5,-0.25
ENSG00000088179,PTPN4,10,8,0.2
ENSG00000104714,ERICH1,17,18,-0.06
ENSG00000088298,EDEM2,5,6,-0.2
ENSG00000090924,PLEKHG2,4,0,4
ENSG00000072832,CRMP1,4,0,4
ENSG00000078328,RBFOX1,6,5,0.17
ENSG00000099901,RANBP1,8,0,8
ENSG00000080200,CRYBG3,4,4,0.0
ENSG00000099904,ZDHHC8,12,15,-0.25
ENSG00000104972,LILRB1,16,18,-0.12
ENSG00000076826,CAMSAP3,5,0,5
ENSG00000092051,JPH4,7,0,7
ENSG00000105146,AURKC,11,16,-0.45
ENSG00000076924,XAB2,4,0,4
ENSG00000087157,PGS1,0,4,-4
ENSG00000081052,COL4A4,0,5,-5
ENSG00000090971,NAT14,4,5,-0.25
ENSG00000105428,ZNRF4,10,9,0.1
ENSG00000081479,LRP2,5,7,-0.4
ENSG00000099991,CABIN1,11,16,-0.45
ENSG00000099994,SUSD2,11,16,-0.45
ENSG00000105486,LIG1,14,15,-0.07
ENSG00000099822,HCN2,4,12,-2.0
ENSG00000100014,SPECC1L,0,4,-4
ENSG00000105499,PLA2G4C,12,16,-0.33
ENSG00000099834,CDHR5,5,9,-0.8
ENSG00000100154,TTC28,5,4,0.2
ENSG00000105538,RASIP1,9,11,-0.22
ENSG00000089847,ANKRD24,0,6,-6
ENSG00000089091,DZANK1,0,4,-4
ENSG00000075391,RASAL2,4,0,4
ENSG00000105556,MIER2,11,13,-0.18
ENSG00000092929,UNC13D,0,4,-4
ENSG00000105609,LILRB5,15,15,0.0
ENSG00000093134,VNN3,7,7,0.0
ENSG00000100285,NEFH,0,4,-4
ENSG00000079313,REXO1,0,4,-4
ENSG00000105613,MAST1,15,18,-0.2
ENSG00000092445,TYRO3,4,6,-0.5
ENSG00000105639,JAK3,9,6,0.33
ENSG00000084070,SMAP2,0,7,-7
ENSG00000080824,HSP90AA1,10,7,0.3
ENSG00000105808,RASA4,9,0,9
ENSG00000091490,SEL1L3,7,12,-0.71
ENSG00000090857,PDPR,4,0,4
ENSG00000105877,DNAH11,13,16,-0.23
ENSG00000091592,NLRP1,4,6,-0.5
ENSG00000077044,DGKD,4,0,4
ENSG00000100079,LGALS2,12,7,0.42
ENSG00000096968,JAK2,9,9,0.0
ENSG00000100393,EP300,8,0,8
ENSG00000106009,BRAT1,0,7,-7
ENSG00000100101,name not found,0,4,-4
ENSG00000099250,NRP1,9,10,-0.11
ENSG00000106078,COBL,9,0,9
ENSG00000085514,PILRA,0,4,-4
ENSG00000100031,GGT1,4,5,-0.25
ENSG00000080603,SRCAP,5,0,5
ENSG00000095564,BTAF1,0,4,-4
ENSG00000099769,IGFALS,5,6,-0.2
ENSG00000100241,SBF1,7,10,-0.43
ENSG00000100258,LMF2,6,5,0.17
ENSG00000095777,MYO3A,7,10,-0.43
ENSG00000106714,CNTNAP3,17,18,-0.06
ENSG00000100726,TELO2,8,8,0.0
ENSG00000100253,MIOX,4,9,-1.25
ENSG00000106948,AKNA,0,6,-6
ENSG00000095370,SH2D3C,0,4,-4
ENSG00000087884,AAMDC,4,8,-1.0
ENSG00000099864,PALM,12,17,-0.42
ENSG00000100888,CHD8,5,0,5
ENSG00000107104,KANK1,6,7,-0.17
ENSG00000100422,CERK,8,12,-0.5
ENSG00000100298,APOBEC3H,12,12,0.0
ENSG00000095319,NUP188,0,5,-5
ENSG00000099899,TRMT2A,7,0,7
ENSG00000107164,FUBP3,0,5,-5
ENSG00000096433,ITPR3,0,5,-5
ENSG00000101204,CHRNA4,4,0,4
ENSG00000080345,RIF1,0,4,-4
ENSG00000101236,RNF24,6,0,6
ENSG00000101246,ARFRP1,5,0,5
ENSG00000108292,name not found,10,5,0.5
ENSG00000099814,CEP170B,6,0,6
ENSG00000108395,TRIM37,15,17,-0.13
ENSG00000099338,CATSPERG,0,5,-5
ENSG00000108417,KRT37,11,12,-0.09
ENSG00000083828,ZNF586,0,4,-4
ENSG00000108465,CDK5RAP3,11,9,0.18
ENSG00000101096,NFATC2,6,0,6
ENSG00000099977,DDT,0,5,-5
ENSG00000101452,DHX35,4,0,4
ENSG00000108469,RECQL5,17,18,-0.06
ENSG00000084693,AGBL5,0,4,-4
ENSG00000084092,NOA1,0,7,-7
ENSG00000101162,TUBB1,0,4,-4
ENSG00000099984,GSTT2,0,5,-5
ENSG00000090402,SI,0,5,-5
ENSG00000084710,EFR3B,0,5,-5
ENSG00000101605,MYOM1,6,5,0.17
ENSG00000081138,CDH7,5,0,5
ENSG00000101188,NTSR1,13,14,-0.08
ENSG00000087995,METTL2A,6,6,0.0
ENSG00000100033,PRODH,7,11,-0.57
ENSG00000101138,CSTF1,10,11,-0.1
ENSG00000101986,ABCD1,15,17,-0.13
ENSG00000108759,KRT32,16,16,0.0
ENSG00000101203,COL20A1,5,0,5
ENSG00000108852,MPP2,17,18,-0.06
ENSG00000100288,CHKB,8,0,8
ENSG00000102076,OPN1LW,6,4,0.33
ENSG00000109061,MYH1,7,0,7
ENSG00000109072,VTN,17,18,-0.06
ENSG00000087237,CETP,7,0,7
ENSG00000099917,MED15,0,5,-5
ENSG00000102891,MT4,15,17,-0.13
ENSG00000087303,NID2,11,9,0.18
ENSG00000109265,CRACD,7,8,-0.14
ENSG00000109536,FRG1,17,18,-0.06
ENSG00000087088,BAX,4,0,4
ENSG00000110057,UNC93B1,14,18,-0.29
ENSG00000100065,CARD10,0,6,-6
ENSG00000110455,ACCS,7,8,-0.14
ENSG00000095464,PDE6C,0,4,-4
ENSG00000103227,LMF1,15,13,0.13
ENSG00000110841,PPFIBP1,16,15,0.06
ENSG00000095539,SEMA4G,7,7,0.0
ENSG00000102317,RBM3,5,4,0.2
ENSG00000103248,MTHFSD,0,4,-4
ENSG00000083642,PDS5B,5,0,5
ENSG00000110876,SELPLG,11,8,0.27
ENSG00000088038,CNOT3,0,5,-5
ENSG00000103449,SALL1,4,0,4
ENSG00000100342,APOL1,11,13,-0.18
ENSG00000102755,FLT1,4,4,0.0
ENSG00000089335,ZNF302,4,0,4
ENSG00000111215,PRR4,6,4,0.33
ENSG00000102904,TSNAXIP1,0,9,-9
ENSG00000088854,C20orf194,4,6,-0.5
ENSG00000099715,PCDH11Y,7,7,0.0
ENSG00000104812,GYS1,4,0,4
ENSG00000086758,HUWE1,0,4,-4
ENSG00000111642,CHD4,0,4,-4
ENSG00000091136,LAMB1,9,4,0.56
ENSG00000104881,PPP1R13L,6,0,6
ENSG00000101150,TPD52L2,10,13,-0.3
ENSG00000103222,ABCC1,11,16,-0.45
ENSG00000104951,IL4I1,8,9,-0.12
ENSG00000103249,CLCN7,8,0,8
ENSG00000103269,RHBDL1,5,0,5
ENSG00000104974,LILRA1,7,4,0.43
ENSG00000112494,UNC93A,7,7,0.0
ENSG00000103723,AP3B2,0,4,-4
ENSG00000105251,SHD,6,11,-0.83
ENSG00000091140,DLD,9,0,9
ENSG00000112530,PACRG,9,8,0.11
ENSG00000105287,PRKD2,16,18,-0.12
ENSG00000112679,DUSP22,12,14,-0.17
ENSG00000112769,LAMA4,17,17,0.0
ENSG00000105364,MRPL4,4,0,4
ENSG00000112787,FBRSL1,16,17,-0.06
ENSG00000112877,CEP72,14,15,-0.07
ENSG00000101680,LAMA1,7,8,-0.14
ENSG00000113249,HAVCR1,14,11,0.21
ENSG00000113504,SLC12A7,9,0,9
ENSG00000105426,PTPRS,15,18,-0.2
ENSG00000113716,HMGXB3,17,18,-0.06
ENSG00000104897,SF3A2,0,4,-4
ENSG00000113758,DBN1,16,18,-0.12
ENSG00000091262,ABCC6,0,5,-5
ENSG00000092036,HAUS4,4,0,4
ENSG00000099290,WASHC2A,4,5,-0.25
ENSG00000104885,DOT1L,4,11,-1.75
ENSG00000114248,LRRC31,4,0,4
ENSG00000104998,IL27RA,0,4,-4
ENSG00000099331,MYO9B,6,5,0.17
ENSG00000091831,ESR1,0,4,-4
ENSG00000102858,MGRN1,0,4,-4
ENSG00000114790,ARHGEF26,16,17,-0.06
ENSG00000102890,ELMO3,0,5,-5
ENSG00000102893,PHKB,4,0,4
ENSG00000105663,name not found,6,5,0.17
ENSG00000115268,RPS15,13,12,0.08
ENSG00000093009,CDC45,0,4,-4
ENSG00000115414,FN1,10,6,0.4
ENSG00000105699,LSR,5,0,5
ENSG00000115541,HSPE1,4,5,-0.25
ENSG00000093217,XYLB,4,7,-0.75
ENSG00000103197,TSC2,6,7,-0.17
ENSG00000100319,ZMAT5,0,4,-4
ENSG00000103126,AXIN1,10,10,0.0
ENSG00000115602,IL1RL1,9,9,0.0
ENSG00000105357,MYH14,0,4,-4
ENSG00000103194,USP10,4,0,4
ENSG00000115604,IL18R1,9,9,0.0
ENSG00000095906,NUBP2,0,4,-4
ENSG00000106246,PTCD1,5,0,5
ENSG00000115762,PLEKHB2,16,17,-0.06
ENSG00000106258,CYP3A5,4,0,4
ENSG00000116014,KISS1R,5,9,-0.8
ENSG00000101493,ZNF516,0,4,-4
ENSG00000116260,QSOX1,6,0,6
ENSG00000103335,PIEZO1,10,10,0.0
ENSG00000091128,LAMB4,5,5,0.0
ENSG00000103876,FAH,9,8,0.11
ENSG00000105501,SIGLEC5,10,12,-0.2
ENSG00000116690,PRG4,5,5,0.0
ENSG00000100429,HDAC10,4,0,4
ENSG00000107331,ABCA2,11,11,0.0
ENSG00000116721,PRAMEF1,11,8,0.27
ENSG00000107521,HPS1,12,7,0.42
ENSG00000116977,LGALS8,16,17,-0.06
ENSG00000104728,ARHGEF10,5,7,-0.4
ENSG00000117153,KLHL12,4,5,-0.25
ENSG00000106100,NOD1,0,6,-6
ENSG00000104763,ASAH1,6,8,-0.33
ENSG00000117868,ESYT2,15,16,-0.07
ENSG00000106178,CCL24,9,11,-0.22
ENSG00000104783,KCNN4,6,4,0.33
ENSG00000101849,TBL1X,5,0,5
ENSG00000104529,EEF1D,7,4,0.43
ENSG00000105650,PDE4C,0,4,-4
ENSG00000108342,CSF3,10,13,-0.3
ENSG00000117983,MUC5B,16,18,-0.12
ENSG00000118412,CASP8AP2,0,4,-4
ENSG00000104835,SARS2,6,9,-0.5
ENSG00000118705,RPN2,13,17,-0.31
ENSG00000104880,ARHGEF18,6,11,-0.83
ENSG00000108557,RAI1,5,6,-0.2
ENSG00000119227,PIGZ,17,16,0.06
ENSG00000106346,USP42,0,4,-4
ENSG00000104946,TBC1D17,4,9,-1.25
ENSG00000106077,ABHD11,0,4,-4
ENSG00000103326,CAPN15,0,5,-5
ENSG00000108773,KAT2A,5,4,0.2
ENSG00000120314,WDR55,12,9,0.25
ENSG00000104938,CLEC4M,4,4,0.0
ENSG00000108825,PTGES3L-AARSD1,10,11,-0.1
ENSG00000120324,PCDHB10,14,14,0.0
ENSG00000105136,ZNF419,8,9,-0.12
ENSG00000120341,SEC16B,12,11,0.08
ENSG00000107099,DOCK8,5,9,-0.8
ENSG00000105143,SLC1A6,5,4,0.2
ENSG00000121210,TMEM131L,6,4,0.33
ENSG00000107736,CDH23,4,6,-0.5
ENSG00000101474,APMAP,4,0,4
ENSG00000105186,ANKRD27,4,0,4
ENSG00000100104,SRRD,4,0,4
ENSG00000105204,DYRK1B,7,11,-0.57
ENSG00000108298,RPL19,5,6,-0.2
ENSG00000109667,SLC2A9,8,16,-1.0
ENSG00000121904,CSMD2,6,6,0.0
ENSG00000108405,P2RX1,7,6,0.14
ENSG00000109919,MTCH2,14,14,0.0
ENSG00000122136,OBP2A,16,18,-0.12
ENSG00000105483,CARD8,9,8,0.11
ENSG00000122497,name not found,16,18,-0.12
ENSG00000122679,RAMP3,4,6,-0.5
ENSG00000100228,RAB36,0,6,-6
ENSG00000105576,TNPO2,4,0,4
ENSG00000108799,EZH1,0,4,-4
ENSG00000110347,name not found,9,12,-0.33
ENSG00000122824,NUDT10,12,11,0.08
ENSG00000123159,GIPC1,5,5,0.0
ENSG00000123384,LRP1,5,4,0.2
